iter	Passed	Remaining
0	79	79013
1	79	39912
2	80	26772
3	81	20252
4	82	16353
5	82	13728
6	83	11858
7	84	10469
8	85	9381
9	85	8491
10	86	7760
11	87	7175
12	87	6664
13	88	6229
14	89	5851
15	89	5514
16	90	5221
17	91	4972
18	91	4736
19	92	4524
20	92	4331
21	93	4157
22	94	3998
23	94	3850
24	95	3714
25	95	3587
26	96	3472
27	96	3365
28	97	3263
29	97	3168
30	98	3090
31	99	3016
32	101	2959
33	102	2910
34	103	2840
35	103	2772
36	104	2713
37	104	2653
38	105	2596
39	106	2549
40	107	2506
41	107	2462
42	108	2414
43	109	2368
44	109	2325
45	110	2284
46	110	2245
47	111	2209
48	111	2173
49	112	2137
50	113	2104
51	113	2076
52	114	2046
53	115	2018
54	116	2000
55	117	1974
56	117	1950
57	118	1924
58	119	1898
59	119	1872
60	120	1847
61	120	1825
62	121	1804
63	122	1784
64	122	1764
65	123	1743
66	123	1723
67	124	1708
68	125	1692
69	126	1676
70	127	1662
71	127	1647
72	128	1636
73	129	1622
74	130	1606
75	130	1590
76	131	1575
77	132	1561
78	133	1553
79	133	1539
80	134	1528
81	135	1515
82	135	1498
83	136	1485
84	136	1473
85	137	1460
86	138	1448
87	138	1438
88	139	1427
89	141	1426
90	141	1414
91	142	1403
92	142	1393
93	143	1383
94	144	1374
95	145	1367
96	145	1356
97	146	1347
98	147	1338
99	147	1328
100	148	1319
101	148	1310
102	149	1302
103	150	1296
104	151	1288
105	151	1279
106	152	1274
107	153	1266
108	153	1258
109	154	1249
110	155	1242
111	155	1235
112	156	1228
113	157	1221
114	157	1213
115	158	1205
116	158	1199
117	159	1192
118	160	1185
119	160	1178
120	161	1171
121	161	1164
122	162	1159
123	163	1152
124	163	1145
125	164	1139
126	164	1132
127	165	1125
128	165	1120
129	166	1115
130	167	1110
131	168	1105
132	168	1099
133	169	1093
134	169	1087
135	170	1081
136	170	1075
137	171	1070
138	171	1064
139	172	1059
140	173	1054
141	173	1047
142	173	1042
143	174	1037
144	175	1032
145	175	1027
146	176	1022
147	176	1017
148	177	1012
149	177	1007
150	178	1002
151	178	998
152	179	993
153	179	988
154	180	983
155	180	978
156	181	974
157	181	969
158	182	964
159	183	960
160	183	955
161	183	951
162	184	947
163	184	943
164	185	939
165	186	935
166	186	931
167	187	927
168	187	923
169	188	919
170	188	915
171	189	911
172	189	907
173	190	904
174	191	900
175	191	896
176	192	893
177	192	890
178	193	887
179	193	883
180	194	879
181	194	876
182	195	872
183	196	869
184	196	865
185	197	862
186	197	859
187	198	855
188	198	852
189	199	849
190	199	846
191	200	843
192	200	840
193	201	836
194	201	833
195	202	830
196	203	827
197	203	824
198	204	821
199	204	819
200	205	816
201	206	813
202	206	810
203	206	807
204	207	804
205	207	801
206	208	798
207	208	795
208	209	792
209	210	790
210	210	787
211	211	784
212	211	782
213	212	779
214	212	776
215	213	773
216	213	771
217	214	768
218	214	765
219	215	763
220	216	762
221	217	761
222	218	760
223	218	757
224	219	755
225	219	752
226	220	750
227	220	747
228	221	745
229	221	742
230	222	741
231	223	738
232	223	736
233	224	735
234	225	733
235	225	730
236	226	728
237	226	726
238	227	724
239	228	722
240	228	719
241	229	717
242	229	715
243	230	713
244	230	710
245	231	708
246	231	706
247	232	703
248	232	701
249	233	699
250	233	697
251	234	695
252	234	693
253	235	691
254	236	690
255	236	688
256	237	687
257	238	685
258	238	683
259	239	681
260	239	679
261	240	677
262	241	675
263	241	673
264	242	671
265	242	669
266	243	667
267	243	665
268	244	663
269	244	661
270	245	659
271	245	657
272	246	655
273	246	654
274	247	652
275	247	650
276	248	648
277	249	647
278	249	645
279	250	643
280	250	641
281	251	639
282	251	637
283	252	636
284	252	634
285	253	632
286	254	631
287	254	629
288	255	627
289	255	626
290	256	624
291	256	622
292	257	620
293	257	618
294	258	617
295	258	615
296	259	614
297	260	612
298	260	611
299	261	609
300	261	608
301	262	606
302	262	604
303	263	603
304	263	601
305	264	600
306	265	598
307	265	597
308	266	595
309	267	594
310	267	593
311	268	592
312	269	590
313	269	589
314	270	587
315	270	586
316	271	584
317	271	583
318	272	581
319	273	580
320	273	579
321	274	577
322	274	576
323	275	574
324	275	573
325	276	571
326	277	570
327	277	568
328	278	567
329	278	565
330	279	564
331	279	562
332	280	561
333	280	559
334	281	558
335	281	556
336	282	555
337	282	553
338	283	552
339	283	550
340	284	549
341	285	548
342	285	547
343	286	545
344	286	544
345	287	542
346	287	541
347	288	539
348	288	538
349	289	536
350	289	535
351	290	534
352	290	532
353	291	531
354	291	530
355	292	529
356	293	527
357	293	526
358	294	525
359	294	523
360	295	522
361	295	521
362	296	519
363	296	518
364	297	517
365	298	516
366	299	515
367	299	514
368	300	513
369	300	511
370	301	510
371	301	509
372	302	508
373	302	506
374	303	505
375	303	504
376	304	503
377	305	502
378	305	500
379	306	499
380	306	498
381	307	496
382	307	495
383	308	494
384	308	493
385	309	492
386	310	491
387	311	491
388	312	490
389	312	489
390	313	487
391	313	486
392	314	485
393	314	484
394	315	483
395	316	482
396	316	481
397	317	479
398	317	478
399	318	477
400	318	476
401	319	475
402	319	473
403	320	472
404	320	471
405	321	470
406	321	469
407	322	467
408	322	466
409	323	465
410	324	464
411	324	463
412	325	462
413	325	460
414	326	459
415	327	459
416	327	458
417	328	457
418	328	455
419	329	454
420	329	453
421	330	452
422	330	451
423	331	449
424	331	448
425	332	447
426	332	446
427	333	445
428	333	444
429	334	443
430	334	442
431	335	441
432	335	439
433	336	438
434	337	437
435	337	436
436	338	435
437	338	434
438	338	433
439	339	432
440	340	431
441	340	430
442	341	428
443	341	427
444	342	426
445	342	425
446	343	424
447	343	423
448	344	422
449	344	421
450	345	420
451	345	419
452	346	418
453	346	417
454	347	416
455	347	414
456	348	413
457	348	412
458	349	411
459	349	410
460	350	409
461	350	408
462	351	407
463	351	406
464	352	405
465	353	404
466	353	403
467	354	402
468	354	401
469	355	400
470	355	399
471	356	398
472	356	397
473	357	396
474	357	395
475	358	394
476	358	393
477	359	392
478	359	391
479	360	390
480	361	389
481	361	388
482	362	387
483	362	386
484	363	385
485	363	384
486	364	383
487	364	382
488	365	381
489	365	380
490	366	379
491	366	378
492	367	377
493	368	377
494	368	376
495	369	375
496	369	374
497	370	373
498	370	372
499	371	371
500	371	370
501	372	369
502	372	368
503	373	367
504	373	366
505	374	365
506	375	364
507	375	363
508	376	363
509	376	362
510	377	361
511	378	360
512	378	359
513	379	358
514	379	357
515	380	356
516	380	355
517	381	354
518	381	353
519	382	353
520	382	352
521	383	351
522	383	350
523	384	349
524	385	348
525	385	347
526	386	346
527	386	345
528	387	344
529	387	343
530	388	342
531	388	342
532	389	341
